               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079392,            0.030125,            0.044426,           0.0041968,             0.27582,           0.0066423,           0.0021792,            0.028705,            0.016386,            0.016915,              0.0856,              0.0016,              0.0016
                   1,            0.054878,             0.02664,            0.038512,             0.12731,             0.57236,             0.15168,            0.071271,            0.013538,            0.017753,             0.01642,            0.070191,           0.0031911,           0.0031911
                   2,            0.039484,            0.020162,            0.034344,             0.19024,             0.56407,              0.2124,             0.11732,            0.017765,           0.0072551,            0.015681,             0.05467,             0.00467,             0.00467
                   3,            0.039051,            0.017518,            0.036293,             0.21385,             0.51526,             0.33322,             0.18543,            0.010052,           0.0068713,            0.015166,            0.039037,           0.0060367,           0.0060367
                   4,            0.033612,            0.016225,            0.031171,             0.17811,             0.60084,             0.29414,             0.15558,             0.01559,           0.0070985,            0.014442,            0.023291,           0.0072912,           0.0072912
                   5,            0.034247,            0.015129,            0.030756,             0.23188,             0.57618,             0.38924,              0.2275,            0.013566,           0.0075011,            0.014199,             0.00835,             0.00835,             0.00835
                   6,            0.037809,            0.014752,             0.03454,              0.1325,             0.15424,            0.080776,            0.026212,            0.028674,           0.0046308,            0.017999,             0.00835,             0.00835,             0.00835
                   7,            0.029245,            0.015084,            0.026107,             0.20879,             0.23453,             0.11885,            0.032485,            0.023653,           0.0063846,            0.013556,             0.00802,             0.00802,             0.00802
                   8,            0.028945,             0.01519,            0.024723,             0.46308,             0.46879,             0.41026,             0.22603,            0.014315,           0.0057012,            0.010395,             0.00769,             0.00769,             0.00769
                   9,            0.027281,            0.013978,            0.019728,             0.61216,             0.55623,             0.57421,             0.27999,             0.01009,           0.0055508,            0.010434,             0.00736,             0.00736,             0.00736
                  10,             0.02985,            0.013541,            0.021333,             0.52138,             0.63142,             0.61182,             0.30803,            0.015046,           0.0046963,            0.016306,             0.00703,             0.00703,             0.00703
                  11,             0.02733,            0.013927,            0.017473,              0.6795,              0.6832,             0.68447,             0.40408,           0.0093261,           0.0045483,           0.0095403,              0.0067,              0.0067,              0.0067
                  12,            0.027749,            0.013356,            0.022187,             0.64319,             0.49286,             0.60305,             0.33912,           0.0098524,           0.0050279,           0.0098134,             0.00637,             0.00637,             0.00637
                  13,            0.024134,            0.013517,            0.014377,             0.83142,             0.80391,             0.85402,             0.51956,           0.0093936,           0.0043035,           0.0035457,             0.00604,             0.00604,             0.00604
                  14,            0.025072,            0.012845,            0.016721,              0.7877,             0.61161,             0.71568,             0.40286,             0.01032,           0.0040968,            0.011793,             0.00571,             0.00571,             0.00571
                  15,            0.020565,            0.012474,            0.015734,             0.86695,             0.85855,             0.92678,             0.53304,            0.010203,           0.0040208,           0.0031879,             0.00538,             0.00538,             0.00538
                  16,            0.024757,            0.012946,            0.013855,             0.90542,             0.93597,             0.97138,             0.55085,           0.0087757,           0.0034454,           0.0019591,             0.00505,             0.00505,             0.00505
                  17,            0.024156,            0.012524,            0.011788,             0.88219,              0.8175,             0.91545,             0.58958,           0.0093931,           0.0035049,           0.0032556,             0.00472,             0.00472,             0.00472
                  18,            0.020095,            0.012687,             0.01299,             0.90187,             0.88828,              0.9466,             0.55421,            0.010471,           0.0034168,            0.002462,             0.00439,             0.00439,             0.00439
                  19,            0.024419,             0.01198,            0.013761,             0.92429,             0.92157,             0.96663,             0.60782,           0.0082352,           0.0030664,            0.001849,             0.00406,             0.00406,             0.00406
                  20,            0.019319,            0.011834,            0.010127,             0.89611,             0.90465,             0.93878,             0.71067,            0.006276,           0.0028814,            0.003093,             0.00373,             0.00373,             0.00373
                  21,            0.026511,            0.012563,            0.014769,             0.94372,             0.93995,             0.97057,             0.73747,           0.0060635,           0.0027118,           0.0016824,              0.0034,              0.0034,              0.0034
                  22,            0.028689,             0.01157,            0.017712,             0.93497,             0.92199,             0.96326,             0.67187,           0.0065668,           0.0032426,           0.0028184,             0.00307,             0.00307,             0.00307
                  23,            0.019189,            0.011486,           0.0097999,             0.95033,             0.94539,             0.98411,             0.73342,           0.0071838,           0.0030151,            0.001164,             0.00274,             0.00274,             0.00274
                  24,            0.024291,            0.011616,            0.012643,              0.8605,             0.90776,             0.94901,             0.72875,            0.005973,           0.0026972,           0.0039144,             0.00241,             0.00241,             0.00241
                  25,            0.017485,            0.011118,           0.0097681,             0.86058,             0.80994,              0.8964,             0.65681,           0.0061847,           0.0032993,           0.0064921,             0.00208,             0.00208,             0.00208
                  26,            0.015964,            0.010584,           0.0076041,             0.93952,             0.94419,             0.97702,              0.7662,           0.0053267,           0.0025442,           0.0019021,             0.00175,             0.00175,             0.00175
                  27,            0.021493,            0.011037,            0.011712,             0.96802,             0.97375,             0.97987,             0.81076,            0.004679,           0.0023379,           0.0010325,             0.00142,             0.00142,             0.00142
                  28,            0.018836,            0.011187,           0.0080376,             0.96245,             0.97464,             0.98315,               0.819,           0.0045501,           0.0024251,           0.0009743,             0.00109,             0.00109,             0.00109
                  29,            0.022816,             0.01059,            0.010626,             0.98036,              0.9868,             0.99201,             0.83315,           0.0045436,           0.0023544,          0.00066151,             0.00076,             0.00076,             0.00076
