               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.069202,            0.027928,              0.0369,          0.00090376,             0.26494,           0.0018223,          0.00025787,            0.031571,            0.013515,            0.016708,            0.067212,          3.2821e-05,          3.2821e-05
                   1,             0.06112,            0.026295,             0.03596,           0.0016443,             0.49776,           0.0029766,          0.00066049,            0.028131,            0.011425,            0.016499,            0.033912,          6.6154e-05,          6.6154e-05
                   2,            0.056285,            0.024886,            0.034904,           0.0024884,             0.72165,            0.012234,           0.0030732,            0.025038,            0.010823,            0.016333,          0.00061231,          9.9487e-05,          9.9487e-05
                   3,            0.052873,            0.025944,            0.034174,           0.0031323,             0.89278,            0.036796,            0.013403,            0.021838,            0.010714,            0.016188,              0.0001,              0.0001,              0.0001
                   4,            0.048748,             0.02572,            0.033258,            0.066883,             0.40135,            0.088829,            0.038689,            0.019096,              0.0107,            0.016101,              0.0001,              0.0001,              0.0001
                   5,            0.045648,             0.02546,            0.033711,             0.14048,             0.33429,             0.14802,             0.06689,             0.01683,            0.010416,            0.016055,              0.0001,              0.0001,              0.0001
                   6,            0.045701,            0.024533,            0.033959,             0.20392,             0.13048,             0.16609,            0.078879,            0.016564,            0.010113,            0.015816,              0.0001,              0.0001,              0.0001
                   7,            0.043572,            0.024281,            0.033627,             0.18684,             0.15106,             0.16616,            0.078124,            0.016395,           0.0097184,            0.015701,              0.0001,              0.0001,              0.0001
                   8,            0.038809,            0.024517,            0.031859,             0.19902,             0.27589,             0.20623,             0.10333,            0.013856,           0.0097666,             0.01555,              0.0001,              0.0001,              0.0001
                   9,            0.038316,            0.023322,            0.032254,             0.20093,             0.28562,             0.22413,             0.11469,            0.013339,           0.0093426,            0.015416,              0.0001,              0.0001,              0.0001
                  10,            0.037893,            0.022569,            0.032322,             0.21883,             0.33939,             0.24715,             0.13217,            0.012802,           0.0087094,            0.015334,              0.0001,              0.0001,              0.0001
                  11,             0.03409,            0.022258,            0.032453,             0.22246,             0.29811,             0.24789,             0.12746,            0.012599,           0.0080118,            0.015282,              0.0001,              0.0001,              0.0001
                  12,            0.034165,            0.021846,            0.032532,             0.23482,             0.37499,             0.27278,             0.15214,             0.01213,           0.0076552,            0.015089,              0.0001,              0.0001,              0.0001
                  13,            0.031243,            0.021046,            0.030478,             0.22095,             0.38195,             0.29497,             0.16386,            0.011466,           0.0072286,            0.015054,              0.0001,              0.0001,              0.0001
                  14,            0.032533,            0.020434,            0.032292,             0.23535,             0.42388,             0.29656,             0.17055,            0.011114,           0.0069699,            0.014999,              0.0001,              0.0001,              0.0001
                  15,            0.030046,            0.019925,            0.031151,             0.22537,             0.42478,             0.31432,              0.1871,             0.01104,           0.0067267,            0.015013,              0.0001,              0.0001,              0.0001
                  16,            0.029974,            0.019684,            0.031684,              0.2226,             0.54813,             0.33064,             0.20106,            0.010524,           0.0066141,            0.014857,              0.0001,              0.0001,              0.0001
                  17,             0.02807,            0.019222,            0.030896,             0.23599,             0.53763,             0.34627,             0.20998,            0.010618,           0.0065947,            0.014677,              0.0001,              0.0001,              0.0001
                  18,            0.027585,            0.019618,            0.031811,             0.24439,               0.578,             0.36009,             0.22525,             0.00997,           0.0063606,             0.01467,              0.0001,              0.0001,              0.0001
                  19,            0.027826,            0.018511,            0.031613,             0.22581,             0.57464,             0.36382,               0.233,           0.0098758,           0.0060886,            0.014657,              0.0001,              0.0001,              0.0001
                  20,            0.026072,             0.01885,            0.030572,             0.24921,             0.57148,             0.37774,             0.24486,           0.0096097,           0.0060504,            0.014531,              0.0001,              0.0001,              0.0001
                  21,            0.026291,            0.018685,            0.030719,             0.26268,               0.535,             0.38605,             0.25316,           0.0097561,           0.0060004,            0.014411,              0.0001,              0.0001,              0.0001
                  22,            0.027045,            0.018079,            0.031419,             0.26489,             0.55289,             0.38121,             0.24969,           0.0093426,           0.0057578,            0.014386,              0.0001,              0.0001,              0.0001
                  23,            0.023509,             0.01792,            0.030347,             0.29434,             0.49917,             0.40704,             0.27044,           0.0093296,           0.0056955,            0.014268,              0.0001,              0.0001,              0.0001
                  24,            0.025673,            0.017848,            0.031169,             0.30971,             0.54501,             0.41333,             0.27678,           0.0091242,           0.0055639,            0.014126,              0.0001,              0.0001,              0.0001
                  25,            0.022939,            0.017464,            0.029846,             0.29051,             0.56154,             0.42535,             0.28241,           0.0091382,           0.0054799,            0.014058,              0.0001,              0.0001,              0.0001
                  26,            0.021834,            0.016904,            0.028724,             0.28755,             0.57224,             0.43157,             0.28692,           0.0092095,           0.0054385,            0.014054,              0.0001,              0.0001,              0.0001
                  27,            0.022705,            0.017078,            0.030237,             0.32166,             0.54288,             0.45243,             0.30407,           0.0089867,           0.0053534,            0.013925,              0.0001,              0.0001,              0.0001
                  28,            0.022108,            0.017208,            0.028806,             0.36421,             0.49754,             0.46102,              0.3066,           0.0088448,           0.0052711,            0.013796,              0.0001,              0.0001,              0.0001
                  29,            0.023052,            0.016812,            0.030239,             0.35414,             0.50125,             0.45396,             0.30366,           0.0087418,           0.0050895,            0.013674,              0.0001,              0.0001,              0.0001
